"","year","mcmc_med_ssb","lwr_95_ssb","upr_95_ssb","mle_ssb","mcmc_med_rec","lwr_95_rec","upr_95_rec","mle_rec","mcmc_med_totbiom","lwr_95_totbiom","upr_95_totbiom","mle_totbiom"
"37",37,90.5219485347443,73.7528999090886,115.261791255707,97.026051358262,11.5206588107898,3.56871379260279,21.8353826278197,12.3668101798964,235.378183979601,198.833908108505,291.302997503263,249.683865045531
"38",38,87.7152214972779,71.634308893408,111.584149217796,93.6941858106708,14.4828849501831,5.35369597399839,24.9103431686701,15.5718769206513,232.738070083976,196.401353338839,288.570413226217,246.75415267758
"39",39,86.2929889059873,70.676001847803,109.581247446525,91.8979418383924,7.85717501444171,1.97415578655904,18.5734745047531,8.47067288864276,227.380553885575,191.779390815832,282.07901202198,240.307622688502
"40",40,85.368374557486,70.0322337524377,108.106063704915,90.6144673084467,24.1929222558326,12.2438075505967,37.1968902357806,25.5963037946972,238.729171285582,201.424360085806,295.914615871109,252.019685918532
"41",41,84.6928028895568,69.612132059342,107.082512840616,89.6471280935123,15.7427908734415,4.52230225490589,30.0097538974913,16.9053919813118,244.706424497663,206.728225645038,303.281460517176,258.122950858835
"42",42,83.4478114940246,68.559362859539,105.636408149861,88.1169133210228,13.2008645090688,3.16218649259358,28.6955205893903,14.0631952522834,246.921135345453,208.336018724029,305.853245073412,259.737574715432
"43",43,83.9298106877454,69.0452465451227,106.129252852491,88.421124918532,29.1078739193362,13.9244661610349,44.5823034044785,30.4633482424759,266.38732827956,225.159747264451,329.398053185,279.926288355102
"44",44,85.3112994053055,70.2645921110844,107.651369166811,89.6956055754274,13.1904567249908,3.5366998669522,26.7067626447748,14.2759110398189,271.893005743696,230.246324163829,335.871090779486,285.445732259192
"45",45,87.0874151339959,71.8256250327464,109.890951592399,91.4202690799433,8.49773076190142,2.16384194909716,18.5165225063919,9.23450595769203,269.627108019288,228.236362094711,333.244669560345,282.713483217874
"46",46,89.4578437629393,73.8164103545049,112.8567915319,93.7147186509231,9.14477643539688,2.79375305600885,17.5382599559325,10.0326093105015,264.432123555219,223.48048326363,326.976418767424,277.310159849423
"47",47,92.4721465285539,76.2944082056392,116.553793088743,96.7449728427047,6.7679096146985,1.90384288247979,14.4391809246125,7.32071164424816,256.147244049407,215.973609901447,317.513879960771,268.251190891081
"48",48,95.2476452162455,78.6179655316958,119.945235240819,99.5726257241168,8.21259267720811,2.61420391852939,16.0119676705265,8.95464880399758,248.441000382524,209.15530784831,308.306011812687,260.080021810325
"49",49,96.3521368368473,79.4575341643382,121.490323863576,100.675646286783,9.03866289572444,2.65633984981098,18.202052537408,9.69762715055882,240.298799575416,201.87521633943,299.026928740166,251.331737715956
"50",50,96.1390365343489,79.1006578799589,121.399940368169,100.401951501157,13.7153421818847,4.69251670517712,24.6589533843157,14.8619765904185,238.150624146789,199.535425926636,296.696616617397,249.208801556051
"51",51,94.8660995470375,77.9310620096022,119.801621892824,99.0028441695901,13.7786757532872,4.91529143251322,24.477445770425,14.4619323502723,238.309645733694,199.814575346876,297.239812519124,249.257304013477
"52",52,93.022082408502,76.342298121969,117.469919601334,97.0154656177782,8.21989389763466,2.23400605796205,17.4022499425127,8.93882450139843,234.802999241999,196.96003977878,292.073936336057,245.385166239926
"53",53,90.4654195351174,74.1142355814123,114.355316415277,94.2761298327339,8.10075962952773,2.64955480624558,15.4666118556003,8.96051563144539,229.311828986051,192.118872138237,285.395249012652,239.755051349223
"54",54,87.8712447784484,71.8975857204178,111.265908294463,91.5173511584371,4.74874274352041,1.38631086917215,10.6752152909158,5.17392137559192,218.920503991711,183.052014465489,273.401472949781,228.781286591258
"55",55,85.7156250002977,69.9407577414708,108.793087499174,89.2633586464096,6.06561022310066,1.69208018470379,13.5763021757901,7.12655531687388,209.311537324427,174.009396851524,262.124290347565,218.936695305308
"56",56,84.5621768235594,68.9284349077903,107.471693091437,88.0763465300976,12.1181414806212,3.89923568007425,23.0994324562391,12.4111944823415,207.463039262592,171.88594106719,260.791788573016,216.536489857685
"57",57,83.5600718904153,67.9774866515067,106.305967345415,87.0661435216249,41.8665617787283,25.3062363301657,62.9690491176809,45.769500279719,238.768334467032,196.657732127387,301.165486583444,251.079294549014
"58",58,82.8553042569383,67.3189174664884,105.414667426213,86.319948926591,17.0878756746169,3.69930320422556,38.9675833122933,17.5301404011276,253.246702824577,208.092167913142,319.964630683619,265.028784156288
"59",59,83.1434498946626,67.3540588757891,105.860621936145,86.5696561069735,95.3832626283519,60.7737578077634,141.204001794809,103.300442597482,348.344344638509,282.538860339663,444.819091723926,367.77371171497
"60",60,85.9978387026899,69.533303386864,109.515427294978,89.598442765747,73.6279898845412,30.2330245978433,119.067989721791,75.6048034961718,435.592967298301,356.158003805339,553.183499829818,458.389369829712
"61",61,93.6555246077338,75.6106485387871,119.368897446799,97.6005678275673,27.3259596276094,3.92351354168308,71.8192652834868,32.3957704917541,482.432852186052,395.851790628626,611.711961130745,508.76170381099
"62",62,108.098055474264,87.3472682596217,137.664366943945,112.830269570943,32.0482957015805,5.0645610243603,72.5450468256091,33.4189441128426,525.687667230597,432.3661985587,664.753283057334,552.542227556421
"63",63,129.499676867176,104.709586627498,164.648774090843,135.623919076609,30.0335976822763,4.36704376563788,78.565905907602,41.5988623051572,561.159826090275,458.949484503352,711.800898018668,597.184917032345
"64",64,154.826894106999,125.025304363188,197.045202853383,162.692945552318,20.2200290749868,2.96400352894251,63.5799025197492,33.2637207436129,577.191561818171,471.358817922582,731.125441832478,624.00291212332
"65",65,182.026164902812,146.942891298739,231.622205370457,191.836807803934,19.0495755426922,2.73538461074982,70.6126837764986,21.2041149147893,589.20897892316,483.406653443001,744.654820814807,635.184060395459
"66",66,206.557898106835,166.828756942578,262.531064678335,218.500134553475,17.4883873741976,13.7139576885699,23.0671753113847,20.6078953607793,591.655845298045,484.84599256159,748.034080878663,640.880173865172
